"District","Consolidated","GEOID","Total","Total MOE","Black or AA","Black or AA MOE","Median Income","Median Income MOE","Percent Black","2014","2015","2016","2017","2018"
"Aberdeen School District",0,2800360,9634,509,5800,491,35485,6812,0.6,"485","435",533,524,544
"Alcorn School District",0,2800390,22322,127,824,281,41490,3065,0.037,"598","545",639,643,637
"Amite County School District",0,2800420,12574,NA,5277,56,30129,3714,0.42,"501","499",439,491,456
"Amory School District",0,2800450,10530,650,2739,485,37639,7022,0.26,"610","648",570,657,664
"Attala County School District",0,2800510,7521,440,2809,358,33650,2318,0.37,"496","485",551,530,587
"Baldwyn School District",0,2800540,4964,630,1713,276,35696,7439,0.35,"517","597",619,661,601
"Bay St. Louis School District",0,2800570,17326,390,2391,493,43935,5614,0.14,"630","559",622,640,598
"Benton County School District",0,2800600,8306,NA,3042,68,40605,5982,0.37,"533","535",552,600,557
"Biloxi Public School District",0,2800630,38598,742,9298,840,42918,3282,0.24,"587","615",671,685,710
"Booneville School District",0,2800820,6666,428,1438,385,28000,5034,0.22,"648","655",676,705,709
"Brookhaven School District",0,2800840,18345,673,7881,455,34794,4119,0.43,"535","435",547,536,544
"Calhoun County School District",0,2800870,14617,NA,3984,140,33370,2074,0.27,"548","478",572,586,585
"Canton Public School District",0,2800900,22802,1076,15575,1021,46595,2563,0.68,"504","356",449,496,506
"Carroll County School District",0,2800930,10221,NA,3424,160,43068,5973,0.33,"546","479",495,531,526
"Chickasaw County School District",0,2800960,2764,390,962,277,31563,8084,0.35,"581","516",501,477,594
"Choctaw County School District",0,2800990,8360,NA,2583,58,34542,2680,0.31,"608","567",573,587,590
"Claiborne County School District",0,2801020,9106,NA,7915,65,24601,2695,0.87,"568","374",427,481,530
"Clarksdale Municipal School District",0,2801050,16579,38,13475,237,29643,3882,0.81,"E","E",447,488,425
"Cleveland School District",0,2800750,20010,554,10357,480,33125,2630,0.52,"528","468",523,510,550
"Clinton Public School District",0,2801090,29483,564,12944,819,57379,3156,0.44,"701","573",672,689,711
"Coahoma County School District",0,2801110,7717,38,5281,219,26979,4035,0.68,"495","428",430,479,450
"Coffeeville School District",0,2801140,5662,552,2893,368,37852,7987,0.51,"482","505",481,530,510
"Columbia School District",0,2801170,11444,886,4275,510,30767,3891,0.37,"E","E",589,587,603
"Columbus Municipal School District",0,2801200,31485,968,17512,779,37123,2083,0.56,"485","368",496,489,516
"Copiah County School District",0,2801220,18250,771,8171,643,39243,4071,0.45,"550","402",524,541,545
"Corinth School District",0,2801260,14920,127,3550,373,35127,5343,0.24,"E","E",NA,NA,555
"Covington County School District",0,2801290,19172,NA,6918,210,36471,3535,0.36,"532","441",536,516,533
"DeSoto County School District",0,2801320,173267,NA,43980,392,62595,1212,0.25,"560","636",678,683,672
"Durant Public School District",0,2801360,2846,365,2466,326,20655,2412,0.87,"516","367",473,491,481
"East Jasper Consolidated School District",1,2801380,6449,504,4420,426,31913,5130,0.69,"564","518",473,540,520
"East Tallahatchie Consolidated School District",1,2801410,6744,496,3118,386,31175,3184,0.46,"525","426",473,510,473
"Enterprise School District",0,2801440,4101,561,301,161,51563,9160,0.073,"679","584",675,701,761
"Forest Municipal School District",0,2801470,9694,705,3953,482,33539,7908,0.41,"497","448",537,516,495
"Forrest County Schools",0,2801490,19581,964,5380,669,43044,4159,0.27,"564","555",609,605,596
"Franklin County School District",0,2801530,7772,NA,2795,58,42388,6189,0.36,"580","509",597,583,633
"George County School District",0,2801560,23545,NA,1818,247,47640,5397,0.077,"548","568",607,614,648
"Greene County School District",0,2801590,13801,NA,3531,123,48029,7215,0.26,"603","581",610,599,615
"Greenville Public School District",0,2801620,28991,426,23987,477,26552,1975,0.83,"479","413",440,463,499
"Greenwood Public School District",0,2801650,15469,260,10672,462,26162,2477,0.69,"496","408",481,534,503
"Grenada School District",0,2801680,21379,NA,9250,180,34876,2457,0.43,"514","626",568,621,648
"Gulfport School District",0,2801710,37616,1081,13979,1007,35219,1897,0.37,"E","E",666,661,641
"Hancock County School District",0,2801740,28716,418,1619,452,50295,4433,0.056,"639","520",640,599,622
"Harrison County School District",0,2801770,96626,1292,21489,1343,48332,1969,0.22,"605","582",612,642,664
"Hattiesburg Public School District",0,2801800,38805,806,21637,812,30958,2393,0.56,"521","441",482,517,499
"Hazlehurst City School District",0,2801830,10498,771,6744,661,36934,2940,0.64,"463","347",519,470,475
"Hinds County School District",0,2801860,47824,906,26708,1085,57868,3754,0.56,"578","485",563,563,589
"Hollandale School District",0,2801890,3394,364,2697,355,26210,3723,0.79,"564","446",516,570,539
"Holly Springs School District",0,2801950,12118,920,8842,847,36721,5542,0.73,"544","467",555,561,511
"Holmes County School District",0,2801980,15421,365,12730,336,20244,1596,0.83,"503","386",453,462,476
"Houston School District",0,2802010,9080,653,3055,491,34203,3876,0.34,"564","524",546,613,635
"Humphreys County School District",0,2802040,8678,NA,6556,28,26188,2118,0.76,"440","468",432,430,444
"Itawamba County School District",0,2802100,23439,NA,1801,123,38358,2777,0.077,"610","585",614,631,608
"Jackson County School District",0,2802160,50607,1355,4912,854,55452,4559,0.097,"605","576",689,650,661
"Jackson Public School District",0,2802190,165942,720,135238,1269,34795,1227,0.81,"495","431",448,444,456
"Jefferson County School District",0,2802220,7463,NA,6448,52,21779,6779,0.86,"522","408",314,528,447
"Jefferson Davis County School District",0,2802250,11639,NA,7175,50,26736,4734,0.62,"543","452",470,549,514
"Jones County School District",0,2802280,50257,249,7956,633,43135,2592,0.16,"582","517",605,611,626
"Kemper County School District",0,2802310,10082,NA,6078,158,27016,3197,0.6,"496","473",440,476,515
"Kosciusko School District",0,2802340,11210,440,5218,392,33947,3009,0.47,"614","543",573,608,602
"Lafayette County School District",0,2802370,15676,793,3253,539,54148,5784,0.21,"568","611",644,659,687
"Lamar County School District",0,2802400,54592,622,9470,499,60706,3992,0.17,"E","E",664,688,698
"Lauderdale County School District",0,2802430,39008,54,9857,664,49539,3119,0.25,"573","572",620,608,620
"Laurel School District",0,2802460,18071,249,11875,611,29145,3058,0.66,"476","375",497,497,485
"Lawrence County School District",0,2802490,12659,NA,4205,69,40432,3627,0.33,"545","533",567,559,562
"Leake County School District",0,2802520,22936,NA,9719,160,35578,2525,0.42,"539","409",492,535,506
"Lee County School District",0,2802550,39246,748,8752,692,45920,2265,0.22,"546","591",560,596,589
"Leflore County School District",0,2802580,14644,260,11381,422,23536,3582,0.78,"476","386",484,418,539
"Leland School District",0,2802610,5439,327,3041,251,34441,4994,0.56,"466","432",422,487,536
"Lincoln County School District",0,2802640,16197,673,2760,458,41190,7723,0.17,"595","531",559,591,597
"Long Beach School District",0,2802670,16627,312,1383,443,51442,4391,0.083,"637","561",744,669,691
"Louisville Municipal School District",0,2802700,18482,NA,8742,72,33313,2589,0.47,"529","465",550,575,597
"Lowndes County School District",0,2802730,28073,968,8413,806,55780,3938,0.3,"607","578",609,634,660
"Lumberton Public School District",0,2802760,5217,725,1204,245,34860,4467,0.23,"552","505",484,505,555
"Madison County School District",0,2802790,79410,1076,23538,995,76567,3752,0.3,"649","623",677,685,679
"Marion County School District",0,2802820,14022,886,3908,552,31229,3512,0.28,"511","495",590,595,573
"Marshall County School District",0,2802850,23863,920,8308,914,43189,4508,0.35,"555","450",536,537,544
"McComb School District",0,2802880,17579,566,11337,534,29545,2618,0.64,"535","408",500,472,494
"Meridian Public School District",0,2802910,39213,54,23661,685,31664,2165,0.6,"507","481",475,491,470
"Monroe County School District",0,2802940,13068,579,1018,260,47523,3994,0.078,"602","551",600,638,632
"Montgomery County School District",0,2802970,5283,204,2099,307,36223,4864,0.4,"474","553",378,468,522
"Moss Point School District",0,2803000,20690,834,10488,491,41018,1950,0.51,"479","429",465,493,515
"Natchez-Adams School District",0,2803030,31583,NA,16798,368,30359,1438,0.53,"478","415",457,481,515
"Neshoba County School District",0,2803060,21642,380,2935,367,37978,3025,0.14,"617","455",603,585,633
"Nettleton School District",0,2803090,5501,625,1599,434,37081,5211,0.29,"548","523",587,566,611
"New Albany Public Schools",0,2803120,11715,520,2385,377,40558,4047,0.2,"603","558",649,644,628
"Newton County School District",0,2803150,12125,535,1789,323,40559,5174,0.15,"596","568",640,668,651
"Newton Municipal School",0,2803180,6614,464,3750,396,31363,3224,0.57,"499","411",489,559,551
"North Bolivar Consolidated School District",1,2800186,5656,370,5308,361,22371,2394,0.94,"487","477",509,489,445
"North Panola School District",0,2803210,12008,804,7735,815,31805,1629,0.64,"504","519",466,494,544
"North Pike School District",0,2803240,10492,677,3372,569,42917,10005,0.32,"605","537",549,567,615
"North Tippah School District",0,2803270,7139,643,659,242,34408,7320,0.092,"568","447",558,581,671
"Noxubee County School District",0,2803300,10942,NA,7887,76,30808,6604,0.72,"512","469",407,453,451
"Ocean Springs School District",0,2803360,30567,1385,2529,746,59836,7881,0.083,"616","621",707,690,723
"Okolona Separate School District",0,2803390,5916,778,3745,727,32574,5725,0.63,"490","500",463,507,571
"Oxford School District",0,2803450,37068,793,9326,540,41918,3211,0.25,"635","603",745,705,718
"Pascagoula-Gautier School District",0,2803480,39450,421,13374,953,42378,2598,0.34,"551","566",609,608,616
"Pass Christian Public School District",0,2803510,11024,818,2400,474,53538,9435,0.22,"646","604",678,665,685
"Pearl Public School District",0,2803520,26468,42,6245,576,46090,3123,0.24,"585","600",643,673,653
"Pearl River County School District",0,2803540,18485,1426,577,254,58555,6373,0.031,"611","529",622,620,653
"Perry County Schools",0,2803570,8392,407,1681,202,40288,4179,0.2,"494","480",530,540,504
"Petal School District",0,2803530,20108,732,2316,411,56655,3254,0.12,"603","712",687,734,750
"Philadelphia Public School District",0,2803600,6632,310,3141,363,35262,6030,0.47,"512","462",529,576,475
"Picayune School District",0,2803630,22982,1299,5132,354,40885,2527,0.22,"525","515",598,556,593
"Pontotoc City Schools",0,2803690,12372,632,2641,510,43610,4425,0.21,"605","501",647,638,671
"Pontotoc County Schools",0,2803660,18703,632,2101,468,40554,3364,0.11,"614","542",611,604,603
"Poplarville Separate School District",0,2803720,11866,818,1384,287,41505,3613,0.12,"619","522",604,686,641
"Prentiss County School District",0,2803750,15914,579,940,262,34848,7249,0.059,"631","554",660,623,667
"Quitman County School District",0,2803810,7537,NA,5351,28,25671,2217,0.71,"511","537",436,514,569
"Quitman School District",0,2803780,11988,561,5349,208,32421,3500,0.45,"569","433",521,515,524
"Rankin County School District",0,2803830,123177,42,23720,602,67104,2999,0.19,"628","576",684,666,690
"Richton School District",0,2803870,3655,407,699,179,30130,4888,0.19,"599","505",586,624,619
"Scott County School District",0,2803900,18705,705,6977,463,33618,2223,0.37,"574","431",591,578,578
"Senatobia Municipal School District",0,2803930,10089,507,3638,446,51578,9660,0.36,"567","521",614,529,606
"Simpson County School District",0,2803990,27215,NA,9944,246,37591,2878,0.37,"525","505",525,526,511
"Smith County School District",0,2804020,16114,NA,3809,44,37697,4413,0.24,"576","558",570,586,603
"South Delta School District",0,2803960,5739,71,4094,67,28644,3373,0.71,"510","425",472,540,484
"South Panola School District",0,2804050,22221,804,9523,761,38643,2679,0.43,"603","489",508,563,625
"South Pike School District",0,2804080,11692,597,6485,517,28605,4630,0.55,"553","437",518,509,488
"South Tippah School District",0,2804110,14854,643,3075,297,41007,3240,0.21,"542","515",600,617,599
"Starkville Oktibbeha Consolidated School District",1,2800189,49392,NA,18328,169,37348,2573,0.37,"553","467",545,559,598
"Stone County School District",0,2804170,17981,NA,3463,193,46283,5271,0.19,"546","557",625,635,636
"Sunflower County Consolidated School District",1,2800187,26915,NA,19911,118,28556,2587,0.74,"461","381",472,463,471
"Tate County School District",0,2804230,18244,507,4873,504,45265,3646,0.27,"552","462",564,542,587
"Tishomingo County Schools",0,2804260,19476,NA,488,96,36672,2553,0.025,"603","578",611,618,669
"Tunica County School District",0,2804290,10276,NA,8066,159,32052,3757,0.78,"455","398",536,486,559
"Tupelo Public School District",0,2804320,40218,585,14477,630,46996,4023,0.36,"618","574",636,638,646
"Union County School District",0,2804350,16487,520,1811,397,39446,5274,0.11,"652","651",652,670,693
"Union Public School District",0,2804380,3861,363,963,263,35720,6256,0.25,"653","586",681,646,644
"Vicksburg Warren School District",0,2804470,47510,NA,23850,189,41635,2441,0.5,"514","428",499,502,500
"Walthall County School District",0,2804440,14670,NA,6713,115,31077,4182,0.46,"487","423",515,519,499
"Water Valley School District",0,2804500,6764,552,2095,341,37554,4181,0.31,"480","537",580,552,565
"Wayne County School District",0,2804530,20458,NA,8289,220,35215,4541,0.41,"499","501",569,519,534
"Webster County School District",0,2804560,9868,NA,1893,75,35634,7532,0.19,"647","564",609,627,643
"West Bolivar Consolidated School District",1,2800185,7455,476,5611,378,22896,3237,0.75,"526","477",474,524,418
"West Jasper School District",0,2804590,10098,504,4527,454,37272,4677,0.45,"579","532",555,643,629
"West Point Consolidated School District",1,2800191,19990,NA,11799,199,34118,4893,0.59,"532","491",513,553,571
"West Tallahatchie School",0,2804650,7808,496,3754,401,28117,2982,0.48,"533","487",464,524,506
"Western Line School District",0,2804680,10366,605,4864,509,34842,4578,0.47,"606","506",478,564,551
"Wilkinson County School District",0,2804710,9084,NA,6477,69,23340,3447,0.71,"544","424",437,462,502
"Winona Separate School District",0,2804740,5026,204,2243,253,33105,13474,0.45,"567","567",521,593,614
"Yazoo City Municipal School District",0,2804770,11189,23,9313,414,20758,2299,0.83,"434","416",463,486,425
"Yazoo County School District",0,2804800,16307,23,6359,347,40399,3409,0.39,"525","458",522,524,539
